124554051609,METHOD_REF,1,,<lambda>4,69,,204,src/shared/context/role-aliases/domain/role-aliases.service.ts::program:RoleAliasesService:update:<lambda>4,,,3,,src/shared/context/role-aliases/domain/role-aliases.service.ts::program:RoleAliasesService:update:<lambda>4
124554051610,METHOD_REF,2,,"constructor(
    @InjectRepository(RoleAlias, dbConfig.name)
    private readonly rolesAliasRepository: Repository<RoleAlias>,
    @InjectRepository(Role, dbConfig.name)
    private readonly rolesRepository: Repository<Role>,
    @InjectRepository(TenantRoleAliases, dbConfig.name)
    private readonly tenantRoleAliasRepository: Repository<TenantRoleAliases>,

    @Inject(forwardRef(() => TenantRoleAliasesService))
    private readonly tenantRoleAliasService: TenantRoleAliasesService,
  ) {}",0,,11,src/shared/context/role-aliases/domain/role-aliases.service.ts::program:RoleAliasesService:<init>,,,2,,src/shared/context/role-aliases/domain/role-aliases.service.ts::program:RoleAliasesService:<init>
124554051611,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/roles/domain/dto/create-role.dto.ts::program:CreateRoleDto:<init>,,,2,,src/shared/context/roles/domain/dto/create-role.dto.ts::program:CreateRoleDto:<init>
124554051612,METHOD_REF,2,,constructor() {},7,,4,src/shared/context/roles/domain/dto/find-role.dto.ts::program:FindRoleDto:<init>,,,2,,src/shared/context/roles/domain/dto/find-role.dto.ts::program:FindRoleDto:<init>
124554051613,METHOD_REF,2,,constructor() {},7,,1,src/shared/context/roles/domain/dto/role.dto.ts::program:RoleDto:<init>,,,2,,src/shared/context/roles/domain/dto/role.dto.ts::program:RoleDto:<init>
124554051614,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/roles/domain/dto/update-role.dto.ts::program:UpdateRoleDto:<init>,,,2,,src/shared/context/roles/domain/dto/update-role.dto.ts::program:UpdateRoleDto:<init>
124554051615,METHOD_REF,1,,<lambda>0,25,,181,src/shared/context/roles/domain/roles.service.ts::program:RolesService:findByMany:<lambda>0,,,3,,src/shared/context/roles/domain/roles.service.ts::program:RolesService:findByMany:<lambda>0
124554051616,METHOD_REF,1,,<lambda>1,81,,186,src/shared/context/roles/domain/roles.service.ts::program:RolesService:findByMany:<lambda>1,,,3,,src/shared/context/roles/domain/roles.service.ts::program:RolesService:findByMany:<lambda>1
124554051617,METHOD_REF,2,,"constructor(
    @InjectRepository(Role, dbConfig.name)
    private readonly rolesRepository: Repository<Role>,
  ) {}",0,,11,src/shared/context/roles/domain/roles.service.ts::program:RolesService:<init>,,,2,,src/shared/context/roles/domain/roles.service.ts::program:RolesService:<init>
124554051618,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/tenant-role-aliases/dto/assign-tenant-role-alias.dto.ts::program:AssignTenantRoleAliasDto:<init>,,,2,,src/shared/context/tenant-role-aliases/dto/assign-tenant-role-alias.dto.ts::program:AssignTenantRoleAliasDto:<init>
124554051619,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/tenant-role-aliases/dto/create-tenant-role-aliases.dto.ts::program:CreateTenantRoleAliasDto:<init>,,,2,,src/shared/context/tenant-role-aliases/dto/create-tenant-role-aliases.dto.ts::program:CreateTenantRoleAliasDto:<init>
124554051620,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/tenant-role-aliases/dto/find-tenant-role-alias.dto.ts::program:FindTenantRoleAliasDto:<init>,,,2,,src/shared/context/tenant-role-aliases/dto/find-tenant-role-alias.dto.ts::program:FindTenantRoleAliasDto:<init>
124554051621,METHOD_REF,2,,constructor() {},7,,1,src/shared/context/tenant-role-aliases/dto/tenant-role-alias.dto.ts::program:TenantRoleAliasDto:<init>,,,2,,src/shared/context/tenant-role-aliases/dto/tenant-role-alias.dto.ts::program:TenantRoleAliasDto:<init>
124554051622,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/tenant-role-aliases/dto/update-tenant-role-alias.dto.ts::program:UpdateTenantRoleAliasDto:<init>,,,2,,src/shared/context/tenant-role-aliases/dto/update-tenant-role-alias.dto.ts::program:UpdateTenantRoleAliasDto:<init>
124554051623,METHOD_REF,1,,<lambda>0,25,,290,src/shared/context/tenant-role-aliases/tenant-role-aliases.service.ts::program:TenantRoleAliasesService:assignToRoleAlias:<lambda>0,,,3,,src/shared/context/tenant-role-aliases/tenant-role-aliases.service.ts::program:TenantRoleAliasesService:assignToRoleAlias:<lambda>0
124554051624,METHOD_REF,2,,"constructor(
    @InjectRepository(RoleAlias, dbConfig.name)
    private readonly rolesAliasRepository: Repository<RoleAlias>,
    @InjectRepository(Role, dbConfig.name)
    private readonly rolesRepository: Repository<Role>,
    @InjectRepository(TenantRoleAliases, dbConfig.name)
    private readonly tenantRoleAliasRepository: Repository<TenantRoleAliases>,
    @InjectRepository(Tenant, dbConfig.name)
    private readonly tenantRepository: Repository<Tenant>,
  ) {}",0,,11,src/shared/context/tenant-role-aliases/tenant-role-aliases.service.ts::program:TenantRoleAliasesService:<init>,,,2,,src/shared/context/tenant-role-aliases/tenant-role-aliases.service.ts::program:TenantRoleAliasesService:<init>
