25769803776,30064771072,DOMINATE
25769803777,30064771074,DOMINATE
25769803780,30064771084,DOMINATE
25769803783,68719476764,DOMINATE
25769803784,128849018883,DOMINATE
25769803792,68719476837,DOMINATE
25769803793,128849018886,DOMINATE
25769803795,30064771197,DOMINATE
25769803797,146028888065,DOMINATE
25769803799,68719476884,DOMINATE
25769803800,128849018889,DOMINATE
25769803802,30064771234,DOMINATE
25769803810,68719476996,DOMINATE
25769803811,128849018897,DOMINATE
25769803819,68719477076,DOMINATE
25769803820,128849018899,DOMINATE
25769803822,30064771442,DOMINATE
25769803830,68719477187,DOMINATE
25769803831,128849018907,DOMINATE
25769803839,68719477240,DOMINATE
25769803840,128849018909,DOMINATE
25769803842,30064771629,DOMINATE
25769803851,68719477368,DOMINATE
25769803852,128849018918,DOMINATE
25769803860,68719477439,DOMINATE
25769803861,128849018920,DOMINATE
25769803863,30064771839,DOMINATE
25769803866,68719477472,DOMINATE
25769803867,30064771857,DOMINATE
25769803872,30064771926,DOMINATE
25769803874,68719477603,DOMINATE
25769803875,128849018928,DOMINATE
25769803883,68719477653,DOMINATE
25769803884,128849018930,DOMINATE
25769803886,30064772076,DOMINATE
25769803889,30064772087,DOMINATE
25769803893,30064772130,DOMINATE
25769803895,68719477767,DOMINATE
25769803896,128849018937,DOMINATE
25769803904,68719477865,DOMINATE
25769803905,128849018939,DOMINATE
25769803907,30064772306,DOMINATE
25769803918,68719478032,DOMINATE
25769803919,128849018950,DOMINATE
25769803927,68719478109,DOMINATE
25769803928,128849018952,DOMINATE
25769803931,30064772565,DOMINATE
25769803932,30064772574,DOMINATE
25769803934,68719478184,DOMINATE
25769803939,68719478221,DOMINATE
25769803940,128849018957,DOMINATE
25769803954,128849018959,DOMINATE
25769803957,68719478284,DOMINATE
25769803958,128849018961,DOMINATE
25769803967,68719478317,DOMINATE
25769803968,128849018963,DOMINATE
25769803970,30064772743,DOMINATE
25769803974,30064772767,DOMINATE
25769803975,30064772778,DOMINATE
25769803976,30064772781,DOMINATE
25769803977,30064772782,DOMINATE
25769803978,30064772792,DOMINATE
25769803979,30064772804,DOMINATE
25769803980,30064772807,DOMINATE
25769803981,30064772808,DOMINATE
25769803982,30064772817,DOMINATE
25769803984,30064772839,DOMINATE
25769803990,30064772895,DOMINATE
25769803993,68719478498,DOMINATE
25769803994,30064772960,DOMINATE
25769803995,30064772965,DOMINATE
25769803997,30064772972,DOMINATE
25769803999,30064772979,DOMINATE
25769804000,30064772985,DOMINATE
25769804001,30064772993,DOMINATE
25769804009,30064773015,DOMINATE
25769804010,30064773042,DOMINATE
25769804011,30064773045,DOMINATE
25769804012,30064773046,DOMINATE
25769804014,30064773068,DOMINATE
25769804015,30064773082,DOMINATE
25769804016,30064773085,DOMINATE
25769804017,30064773086,DOMINATE
25769804019,30064773098,DOMINATE
25769804020,30064773110,DOMINATE
25769804021,30064773113,DOMINATE
25769804022,30064773114,DOMINATE
25769804023,30064773124,DOMINATE
25769804025,30064773146,DOMINATE
25769804032,30064773177,DOMINATE
25769804033,30064773189,DOMINATE
25769804034,30064773192,DOMINATE
