69,ANNOTATION,-1,,@Delete(':id'),2,Delete,59,Delete,,,1
70,ANNOTATION,-1,,"@Module({
  imports: [TypeOrmModule.forFeature([Role, Tenant, TenantRoleAliases, RoleAlias], dbConfig.name)],
  controllers: [TenantRoleAliasesController],
  providers: [TenantRoleAliasesService],
})",0,Module,8,Module,,,1
71,ANNOTATION,-1,,@ApiTags('tenants'),0,ApiTags,8,ApiTags,,,1
72,ANNOTATION,-1,,@Controller('tenants'),0,Controller,9,Controller,,,1
73,ANNOTATION,-1,,@Body(),15,Body,15,Body,,,1
74,ANNOTATION,-1,,@Post(),2,Post,14,Post,,,5
75,ANNOTATION,-1,,@Post(),2,Post,14,Post,,,1
76,ANNOTATION,-1,,@Get(),2,Get,28,Get,,,4
77,ANNOTATION,-1,,@Get(),2,Get,28,Get,,,1
78,ANNOTATION,-1,,@Body(),17,Body,35,Body,,,1
79,ANNOTATION,-1,,@Post('many/'),2,Post,34,Post,,,5
80,ANNOTATION,-1,,@Post('many/'),2,Post,34,Post,,,1
81,ANNOTATION,-1,,@Param('id'),16,Param,42,Param,,,1
82,ANNOTATION,-1,,@Get(':id'),2,Get,41,Get,,,5
83,ANNOTATION,-1,,@Get(':id'),2,Get,41,Get,,,1
84,ANNOTATION,-1,,@Param('id'),15,Param,50,Param,,,1
85,ANNOTATION,-1,,@Body(),40,Body,50,Body,,,1
86,ANNOTATION,-1,,@Patch(':id'),2,Patch,49,Patch,,,6
87,ANNOTATION,-1,,@Patch(':id'),2,Patch,49,Patch,,,1
88,ANNOTATION,-1,,@Param('id'),15,Param,63,Param,,,1
89,ANNOTATION,-1,,@Delete(':id'),2,Delete,62,Delete,,,5
90,ANNOTATION,-1,,@Delete(':id'),2,Delete,62,Delete,,,1
91,ANNOTATION,-1,,"@Module({
  imports: [TypeOrmModule.forFeature([Tenant, TenantType, TenantConfig], dbConfig.name)],
  controllers: [TenantsController],
  providers: [TenantsService],
})",0,Module,8,Module,,,1
92,ANNOTATION,-1,,@ApiTags('user-role-by-tenants'),0,ApiTags,7,ApiTags,,,1
93,ANNOTATION,-1,,@Controller('user-role-by-tenants'),0,Controller,8,Controller,,,1
