128849018919,METHOD_RETURN,RET,0,src/context/tenant-role-aliases/tenant-role-aliases:module:ts::program:TenantRoleAliasModule:<init>;TenantRoleAliasModule,BY_VALUE,8,,,4,TenantRoleAliasModule,ANY
128849018920,METHOD_RETURN,RET,0,,BY_VALUE,1,,,4,,ANY
128849018921,METHOD_RETURN,RET,2,src/context/tenants/tenants:controller:ts::program:TenantsController:<init>;TenantsController,BY_VALUE,11,,,5,TenantsController,ANY
128849018922,METHOD_RETURN,RET,2,Promise<any>,BY_VALUE,14,,,6,Promise<any>,Promise<any>
128849018923,METHOD_RETURN,RET,2,src/shared/context/tenants/domain/tenants:service:ts::program:TenantsService:findAll:<returnValue>;Promise<Tenant[]>;TenantsService:findAll:<returnValue>;src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:findAll:<returnValue>,BY_VALUE,28,,,5,Promise<Tenant[]>,Promise<Tenant[]>
128849018924,METHOD_RETURN,RET,2,Promise<Tenant[]>;__ecma.Array,BY_VALUE,34,,,6,Promise<Tenant[]>,ANY
128849018925,METHOD_RETURN,RET,2,Promise<Tenant>;Tenant,BY_VALUE,41,,,6,Promise<Tenant>,ANY
128849018926,METHOD_RETURN,RET,2,Promise<any>;Tenant,BY_VALUE,49,,,7,Promise<any>,ANY
128849018927,METHOD_RETURN,RET,2,Promise<any>;Tenant,BY_VALUE,62,,,6,Promise<any>,ANY
128849018928,METHOD_RETURN,RET,0,,BY_VALUE,1,,,4,,ANY
128849018929,METHOD_RETURN,RET,0,src/context/tenants/tenants:module:ts::program:TenantsModule:<init>;TenantsModule,BY_VALUE,8,,,4,TenantsModule,ANY
128849018930,METHOD_RETURN,RET,0,,BY_VALUE,1,,,4,,ANY
128849018931,METHOD_RETURN,RET,2,src/context/user-role-by-tenants/user-role-by-tenants:controller:ts::program:UserRoleByTenantsController:<init>;UserRoleByTenantsController,BY_VALUE,10,,,5,UserRoleByTenantsController,ANY
128849018932,METHOD_RETURN,RET,2,Promise<any>,BY_VALUE,13,,,6,Promise<any>,Promise<any>
128849018933,METHOD_RETURN,RET,2,Promise<any>;UserRoleByTenantsService:findAll:<returnValue>;src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:findAll:<returnValue>;src/shared/context/user-role-by-tenants/user-role-by-tenants:service:ts::program:UserRoleByTenantsService:findAll:<returnValue>,BY_VALUE,21,,,5,Promise<any>,Promise<any>
128849018934,METHOD_RETURN,RET,2,Promise<any>,BY_VALUE,27,,,6,Promise<any>,Promise<any>
128849018935,METHOD_RETURN,RET,2,Promise<any>,BY_VALUE,35,,,7,Promise<any>,Promise<any>
128849018936,METHOD_RETURN,RET,2,Promise<any>,BY_VALUE,43,,,6,Promise<any>,Promise<any>
128849018937,METHOD_RETURN,RET,0,,BY_VALUE,1,,,4,,ANY
128849018938,METHOD_RETURN,RET,0,src/context/user-role-by-tenants/user-role-by-tenants:module:ts::program:UserRoleByTenantsModule:<init>;UserRoleByTenantsModule,BY_VALUE,14,,,4,UserRoleByTenantsModule,ANY
128849018939,METHOD_RETURN,RET,0,,BY_VALUE,1,,,4,,ANY
128849018940,METHOD_RETURN,RET,2,src/context/users/users:controller:ts::program:UsersController:<init>;UsersController,BY_VALUE,12,,,5,UsersController,ANY
128849018941,METHOD_RETURN,RET,2,Promise<any>,BY_VALUE,15,,,7,Promise<any>,Promise<any>
