180388626469,TYPE_REF,-1,,class FindUserRoleByTenantsDto,7,,5,,,-1,,src/shared/context/user-role-by-tenants/dto/find-user-role-by-tenants.dto.ts::program:FindUserRoleByTenantsDto
180388626470,TYPE_REF,-1,,class UpdateUserRoleByTenantsDto,7,,6,,,-1,,src/shared/context/user-role-by-tenants/dto/update-user-role-by-tenants.dto.ts::program:UpdateUserRoleByTenantsDto
180388626471,TYPE_REF,-1,,class UserRoleByTenantsDto,7,,1,,,-1,,src/shared/context/user-role-by-tenants/dto/user-role-by-tenants.dto.ts::program:UserRoleByTenantsDto
180388626472,TYPE_REF,-1,,class UserRoleByTenantsService,0,,14,,,-1,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService
180388626473,TYPE_REF,-1,,class CreateUserDto,7,,6,,,-1,,src/shared/context/users/domain/dto/create-user.dto.ts::program:CreateUserDto
180388626474,TYPE_REF,-1,,class FindUserDto,7,,5,,,-1,,src/shared/context/users/domain/dto/find-user.dto.ts::program:FindUserDto
180388626475,TYPE_REF,-1,,class UpdateUserDto,7,,6,,,-1,,src/shared/context/users/domain/dto/update-user.dto.ts::program:UpdateUserDto
180388626476,TYPE_REF,-1,,class UserDto,7,,3,,,-1,,src/shared/context/users/domain/dto/user.dto.ts::program:UserDto
180388626477,TYPE_REF,-1,,class UserVerificationService,0,,12,,,-1,,src/shared/context/users/domain/user-verification.service.ts::program:UserVerificationService
180388626478,TYPE_REF,-1,,class UsersService,0,,30,,,-1,,src/shared/context/users/domain/users.service.ts::program:UsersService
180388626479,TYPE_REF,1,,enum IssuerEnum,7,,1,,,1,,src/shared/dataTypes/Enums.ts::program:IssuerEnum
180388626480,TYPE_REF,1,,enum FieldAccessEnum,7,,6,,,1,,src/shared/dataTypes/Enums.ts::program:FieldAccessEnum
180388626481,TYPE_REF,-1,,class Options,7,,1,,,-1,,src/shared/dataTypes/Options.ts::program:Options
180388626482,TYPE_REF,-1,,class EmailProvider,0,,6,,,-1,,src/shared/infrastructure/mails/mailProvider.ts::program:EmailProvider
180388626483,TYPE_REF,-1,,class CorrelationIdMiddleware,0,,7,,,-1,,src/shared/middleware/correlation-id/correlation-id.middleware.ts::program:CorrelationIdMiddleware
